class_idx,class_name,support,precision,recall,f1,species
34,Staffordshire Bull Terrier,89,0.777778,0.629213,0.695652,dog
2,American Pit Bull Terrier,100,0.773810,0.650000,0.706522,dog
26,Ragdoll,100,0.760417,0.730000,0.744898,cat
1,American Bulldog,100,0.736000,0.920000,0.817778,dog
6,Birman,100,0.771930,0.880000,0.822430,cat
5,Bengal,100,0.758065,0.940000,0.839286,cat
11,Egyptian Mau,97,0.886364,0.804124,0.843243,cat
9,British Shorthair,100,0.930233,0.800000,0.860215,cat
27,Russian Blue,100,0.932584,0.830000,0.878307,cat
20,Maine Coon,100,0.945055,0.860000,0.900524,cat
4,Beagle,100,0.863636,0.950000,0.904762,dog
10,Chihuahua,100,0.929293,0.920000,0.924623,dog
8,Boxer,99,0.920000,0.929293,0.924623,dog
7,Bombay,88,0.862745,1.000000,0.926316,cat
16,Havanese,100,0.930693,0.940000,0.935323,dog
32,Siamese,100,0.968085,0.910000,0.938144,cat
0,Abyssinian,98,0.921569,0.959184,0.940000,cat
23,Persian,100,0.968750,0.930000,0.948980,cat
3,Basset Hound,100,0.959184,0.940000,0.949495,dog
35,Wheaten Terrier,100,0.979167,0.940000,0.959184,dog
14,German Shorthaired,100,0.925926,1.000000,0.961538,dog
21,Miniature Pinscher,100,0.969697,0.960000,0.964824,dog
24,Pomeranian,100,0.951456,0.980000,0.965517,dog
33,Sphynx,100,1.000000,0.950000,0.974359,cat
15,Great Pyrenees,100,0.979798,0.970000,0.974874,dog
28,Saint Bernard,100,0.961165,0.990000,0.975369,dog
13,English Setter,100,1.000000,0.960000,0.979592,dog
12,English Cocker Spaniel,100,0.989796,0.970000,0.979798,dog
31,Shiba Inu,100,0.980000,0.980000,0.980000,dog
22,Newfoundland,100,0.970588,0.990000,0.980198,dog
19,Leonberger,100,1.000000,0.970000,0.984772,dog
29,Samoyed,100,0.980198,0.990000,0.985075,dog
36,Yorkshire Terrier,100,0.970874,1.000000,0.985222,dog
25,Pug,100,1.000000,0.980000,0.989899,dog
30,Scottish Terrier,99,0.980198,1.000000,0.990000,dog
18,Keeshond,99,1.000000,0.989899,0.994924,dog
17,Japanese Chin,100,0.990099,1.000000,0.995025,dog
