epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.650064,0.017361,3.646849,0.016216,0.116216,0.01648,0.00034,51.9
1,3.340333,0.299653,2.877319,0.662162,0.916216,0.650626,0.0006700000000000001,6.0
2,2.417484,0.7375,1.318459,0.845946,0.995946,0.839734,0.001,5.9
3,1.399619,0.859375,0.514603,0.894595,0.998649,0.893809,0.0009982167568285507,5.8
4,1.065965,0.897569,0.403145,0.916216,0.997297,0.915769,0.0009928798756221157,5.8
5,0.958617,0.932986,0.363732,0.922973,1.0,0.9224,0.000984027808732082,5.9
6,0.913994,0.945486,0.342003,0.92973,0.998649,0.929732,0.0009717243355032365,6.0
7,0.883491,0.952431,0.34134,0.931081,0.998649,0.930965,0.0009560581027421271,5.8
8,0.850445,0.965972,0.333772,0.92973,0.998649,0.929541,0.000937141986014788,5.9
9,0.838216,0.968403,0.336938,0.931081,0.998649,0.93099,0.0009151122763757018,5.8
10,0.818988,0.974306,0.346271,0.932432,0.998649,0.931787,0.0008901276983876275,6.1
11,0.80327,0.980556,0.347715,0.936486,0.998649,0.936514,0.0008623682665074895,5.9
12,0.797152,0.980208,0.334254,0.935135,1.0,0.935278,0.0008320339880780901,6.0
13,0.782725,0.988542,0.336081,0.939189,0.998649,0.939223,0.0007993434222706218,5.8
14,0.785338,0.981944,0.32657,0.937838,0.998649,0.938169,0.0007645321053608296,5.9
15,0.781938,0.982639,0.330052,0.941892,0.998649,0.942133,0.0007278508536847482,6.1
16,0.773129,0.988542,0.3443,0.935135,0.998649,0.934964,0.0006895639565012528,5.9
17,0.770628,0.985764,0.333807,0.933784,1.0,0.93382,0.0006499472717818924,6.1
18,0.762286,0.989236,0.334056,0.939189,0.995946,0.93957,0.0006092862386478846,6.0
19,0.756404,0.989583,0.338237,0.939189,0.997297,0.939492,0.0005678738207747049,6.0
20,0.759709,0.9875,0.354305,0.937838,0.997297,0.937651,0.0005260083955820935,6.0
21,0.75677,0.988194,0.328294,0.937838,0.997297,0.938209,0.00048399160441790664,5.9
22,0.750825,0.992361,0.34978,0.937838,0.998649,0.937899,0.00044212617922529497,5.9
23,0.751612,0.989236,0.349989,0.940541,0.997297,0.940453,0.00040071376135211544,5.9
24,0.746871,0.991319,0.348213,0.933784,0.997297,0.933699,0.00036005272821810764,5.9
25,0.745619,0.992361,0.349404,0.941892,0.997297,0.942106,0.00032043604349874725,6.1
26,0.740717,0.992361,0.342029,0.935135,1.0,0.935211,0.0002821491463152516,6.1
27,0.746159,0.9875,0.347343,0.937838,1.0,0.938183,0.00024546789463917034,6.0
28,0.741716,0.992361,0.346217,0.940541,1.0,0.940662,0.00021065657772937805,6.0
29,0.739014,0.99375,0.343025,0.936486,1.0,0.936712,0.00017796601192190975,6.1
30,0.73751,0.994444,0.345742,0.940541,0.998649,0.940571,0.0001476317334925104,5.9
31,0.736745,0.995139,0.338855,0.941892,1.0,0.942246,0.00011987230161237237,6.0
32,0.733911,0.994792,0.346061,0.939189,1.0,0.939371,9.488772362429817e-05,6.1
33,0.739235,0.991319,0.339792,0.944595,0.998649,0.944648,7.285801398521197e-05,5.9
34,0.739688,0.992708,0.346665,0.945946,0.998649,0.946166,5.394189725787288e-05,6.0
35,0.733909,0.994792,0.343303,0.941892,0.997297,0.942163,3.8275664496763314e-05,6.0
36,0.733532,0.994792,0.352725,0.936486,0.998649,0.936673,2.5972191267918057e-05,6.0
37,0.729967,0.993403,0.351029,0.941892,0.995946,0.942079,1.7120124377884313e-05,6.0
38,0.731419,0.99375,0.347959,0.940541,0.997297,0.940643,1.1783243171449372e-05,6.0
39,0.736097,0.993403,0.352268,0.940541,0.997297,0.940726,1e-05,5.8
