epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.649858,0.021875,3.648846,0.013514,0.124324,0.014713,0.00034,53.8
1,3.375818,0.261458,2.941272,0.62973,0.909459,0.613649,0.0006700000000000001,8.0
2,2.537096,0.674653,1.384394,0.843243,0.994595,0.834428,0.001,8.2
3,1.543034,0.818056,0.552338,0.897297,0.998649,0.896339,0.0009982167568285507,7.9
4,1.16537,0.870139,0.436582,0.914865,0.998649,0.913816,0.0009928798756221157,7.9
5,1.07512,0.892014,0.383693,0.92027,0.998649,0.919824,0.000984027808732082,7.7
6,1.007745,0.909028,0.358139,0.927027,0.998649,0.926238,0.0009717243355032365,8.0
7,0.968441,0.921528,0.351652,0.924324,0.997297,0.923487,0.0009560581027421271,7.9
8,0.935175,0.934028,0.312742,0.932432,0.998649,0.93278,0.000937141986014788,7.9
9,0.919016,0.934375,0.339523,0.936486,0.998649,0.936567,0.0009151122763757018,7.9
10,0.920478,0.937153,0.330779,0.931081,0.997297,0.931558,0.0008901276983876275,7.9
11,0.902575,0.947222,0.339553,0.935135,0.998649,0.934927,0.0008623682665074895,8.0
12,0.874085,0.959028,0.333088,0.944595,0.997297,0.945243,0.0008320339880780901,8.1
13,0.85469,0.964931,0.336818,0.943243,0.995946,0.943193,0.0007993434222706218,8.0
14,0.845001,0.963542,0.32022,0.937838,0.997297,0.938371,0.0007645321053608296,8.0
15,0.850192,0.964583,0.32319,0.945946,0.998649,0.946177,0.0007278508536847482,7.8
16,0.843971,0.964583,0.323053,0.945946,0.998649,0.94616,0.0006895639565012528,8.0
17,0.836057,0.969792,0.316472,0.945946,0.997297,0.945994,0.0006499472717818924,8.0
18,0.825531,0.971528,0.337807,0.940541,0.995946,0.940323,0.0006092862386478846,8.1
19,0.826109,0.970139,0.335123,0.943243,0.997297,0.943442,0.0005678738207747049,8.2
20,0.822761,0.974653,0.337487,0.939189,0.995946,0.93888,0.0005260083955820935,8.0
21,0.818848,0.971528,0.318185,0.948649,0.998649,0.948794,0.00048399160441790664,8.0
22,0.814243,0.974306,0.32523,0.947297,0.998649,0.94726,0.00044212617922529497,8.0
23,0.809677,0.973264,0.325286,0.948649,0.997297,0.948808,0.00040071376135211544,7.9
24,0.811972,0.973958,0.343175,0.940541,0.997297,0.94059,0.00036005272821810764,7.9
25,0.809439,0.971528,0.327506,0.943243,0.998649,0.943303,0.00032043604349874725,7.9
26,0.79507,0.977778,0.335479,0.939189,1.0,0.93903,0.0002821491463152516,8.0
27,0.796247,0.981944,0.324558,0.941892,0.997297,0.942058,0.00024546789463917034,25.5
28,0.796046,0.977083,0.326207,0.945946,0.998649,0.945924,0.00021065657772937805,8.0
29,0.792174,0.98125,0.329631,0.943243,0.998649,0.943279,0.00017796601192190975,8.0
30,0.795792,0.980208,0.330656,0.95,0.998649,0.950205,0.0001476317334925104,7.8
31,0.797125,0.976042,0.325352,0.95,1.0,0.950207,0.00011987230161237237,7.9
32,0.785997,0.981944,0.322099,0.948649,0.998649,0.948927,9.488772362429817e-05,7.9
33,0.786024,0.98125,0.323687,0.944595,0.998649,0.944638,7.285801398521197e-05,8.0
34,0.791333,0.978472,0.320305,0.945946,0.998649,0.946106,5.394189725787288e-05,8.1
35,0.786143,0.981597,0.326069,0.947297,0.998649,0.947534,3.8275664496763314e-05,8.1
36,0.78798,0.982639,0.328205,0.945946,0.998649,0.946111,2.5972191267918057e-05,8.1
37,0.782136,0.98125,0.325711,0.947297,0.998649,0.947404,1.7120124377884313e-05,8.0
38,0.784778,0.982292,0.323456,0.947297,1.0,0.947284,1.1783243171449372e-05,8.1
39,0.782136,0.979861,0.334222,0.945946,0.998649,0.946123,1e-05,7.9
