epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.650482,0.019444,3.65068,0.013514,0.124324,0.014713,0.00034,53.6
1,3.400044,0.2375,3.01441,0.593243,0.893243,0.576407,0.0006700000000000001,7.9
2,2.677916,0.645139,1.702382,0.828378,0.993243,0.817954,0.001,8.0
3,1.745043,0.792361,0.713195,0.897297,0.998649,0.894417,0.0009982167568285507,7.9
4,1.29029,0.85,0.482683,0.912162,0.998649,0.910853,0.0009928798756221157,7.9
5,1.159787,0.864583,0.40812,0.912162,0.998649,0.91107,0.000984027808732082,7.6
6,1.07652,0.892708,0.377639,0.92027,0.998649,0.919713,0.0009717243355032365,8.0
7,1.032965,0.905556,0.363396,0.917568,0.998649,0.916478,0.0009560581027421271,7.8
8,0.993577,0.920486,0.333188,0.922973,0.998649,0.922279,0.000937141986014788,7.8
9,0.978468,0.916319,0.345006,0.933784,0.998649,0.933257,0.0009151122763757018,7.9
10,0.97633,0.920486,0.338126,0.931081,1.0,0.930858,0.0008901276983876275,7.8
11,0.95349,0.929514,0.340739,0.932432,0.998649,0.931985,0.0008623682665074895,8.0
12,0.930321,0.941319,0.329205,0.944595,0.998649,0.944872,0.0008320339880780901,8.0
13,0.906002,0.95,0.330343,0.932432,0.995946,0.932287,0.0007993434222706218,8.1
14,0.89371,0.954167,0.328884,0.935135,0.998649,0.935,0.0007645321053608296,7.9
15,0.896655,0.954514,0.332508,0.941892,0.997297,0.941901,0.0007278508536847482,7.9
16,0.889741,0.956597,0.325616,0.944595,0.997297,0.94439,0.0006895639565012528,7.9
17,0.880381,0.95625,0.326069,0.937838,0.997297,0.937832,0.0006499472717818924,8.1
18,0.871412,0.959375,0.334377,0.939189,0.997297,0.938845,0.0006092862386478846,8.0
19,0.871151,0.959375,0.325399,0.943243,0.997297,0.943143,0.0005678738207747049,8.0
20,0.865804,0.963889,0.325072,0.940541,0.997297,0.940694,0.0005260083955820935,7.9
21,0.861699,0.962847,0.31354,0.945946,0.998649,0.946023,0.00048399160441790664,7.9
22,0.854315,0.963194,0.316737,0.948649,0.997297,0.948714,0.00044212617922529497,7.9
23,0.849109,0.96875,0.322877,0.945946,0.995946,0.945936,0.00040071376135211544,8.0
24,0.849288,0.964931,0.338881,0.944595,0.995946,0.944381,0.00036005272821810764,7.9
25,0.852596,0.961458,0.321272,0.941892,0.998649,0.941944,0.00032043604349874725,7.9
26,0.83555,0.972222,0.323733,0.941892,0.998649,0.941893,0.0002821491463152516,8.0
27,0.833637,0.974653,0.314617,0.937838,0.997297,0.937655,0.00024546789463917034,8.0
28,0.837204,0.972222,0.324867,0.939189,0.997297,0.939194,0.00021065657772937805,8.0
29,0.832467,0.970833,0.326565,0.940541,0.997297,0.940644,0.00017796601192190975,8.0
30,0.833036,0.972569,0.322923,0.945946,0.998649,0.946134,0.0001476317334925104,7.9
31,0.836038,0.969444,0.326647,0.948649,0.998649,0.948833,0.00011987230161237237,7.9
32,0.825965,0.970139,0.319464,0.943243,0.998649,0.943445,9.488772362429817e-05,7.9
33,0.825068,0.975,0.321026,0.943243,0.997297,0.943445,7.285801398521197e-05,7.9
34,0.827954,0.972917,0.323473,0.943243,0.998649,0.943455,5.394189725787288e-05,7.9
35,0.825424,0.971181,0.327528,0.943243,0.998649,0.94353,3.8275664496763314e-05,8.0
36,0.827701,0.971875,0.328484,0.944595,0.998649,0.944744,2.5972191267918057e-05,8.0
37,0.817459,0.976736,0.323118,0.947297,0.998649,0.947453,1.7120124377884313e-05,8.0
38,0.824029,0.976736,0.320363,0.943243,0.998649,0.943211,1.1783243171449372e-05,8.0
39,0.817096,0.973958,0.329729,0.941892,0.997297,0.942003,1e-05,8.0
