epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.650708,0.017708,3.649004,0.016216,0.116216,0.016426,0.00034,52.3
1,3.367722,0.275694,2.949266,0.637838,0.901351,0.624713,0.0006700000000000001,5.9
2,2.567007,0.707639,1.627974,0.822973,0.995946,0.814206,0.001,5.9
3,1.594427,0.835069,0.656771,0.890541,0.998649,0.889282,0.0009982167568285507,6.6
4,1.169701,0.88125,0.45631,0.909459,0.998649,0.90878,0.0009928798756221157,7.0
5,1.030149,0.913194,0.387435,0.914865,0.998649,0.91426,0.000984027808732082,6.6
6,0.976696,0.927431,0.35934,0.924324,0.998649,0.924158,0.0009717243355032365,6.0
7,0.943277,0.935764,0.355209,0.917568,0.998649,0.91704,0.0009560581027421271,5.9
8,0.905436,0.948958,0.337895,0.925676,0.998649,0.925078,0.000937141986014788,6.0
9,0.89055,0.953472,0.34471,0.928378,0.998649,0.928122,0.0009151122763757018,5.9
10,0.869766,0.961111,0.335838,0.928378,0.998649,0.928021,0.0008901276983876275,6.0
11,0.850611,0.965972,0.34361,0.935135,0.998649,0.935094,0.0008623682665074895,5.9
12,0.841886,0.971181,0.335694,0.936486,0.998649,0.936811,0.0008320339880780901,6.0
13,0.825695,0.978472,0.332056,0.935135,0.998649,0.935101,0.0007993434222706218,5.8
14,0.824406,0.977778,0.331447,0.936486,0.998649,0.936712,0.0007645321053608296,6.1
15,0.819273,0.977083,0.335121,0.941892,0.998649,0.942028,0.0007278508536847482,6.0
16,0.810648,0.981944,0.334391,0.939189,0.997297,0.939236,0.0006895639565012528,5.9
17,0.803535,0.981944,0.335085,0.939189,0.997297,0.939341,0.0006499472717818924,6.1
18,0.79456,0.985417,0.330388,0.939189,0.995946,0.939331,0.0006092862386478846,6.0
19,0.788574,0.988194,0.332958,0.940541,0.997297,0.940714,0.0005678738207747049,6.2
20,0.791561,0.984028,0.345835,0.940541,0.997297,0.940424,0.0005260083955820935,6.0
21,0.787646,0.986111,0.328541,0.936486,0.997297,0.936695,0.00048399160441790664,6.0
22,0.782595,0.988542,0.34111,0.937838,0.995946,0.937792,0.00044212617922529497,5.9
23,0.779433,0.987847,0.343502,0.939189,0.997297,0.938936,0.00040071376135211544,5.9
24,0.776169,0.9875,0.346044,0.935135,0.994595,0.93526,0.00036005272821810764,5.9
25,0.774545,0.988542,0.34908,0.940541,0.997297,0.940652,0.00032043604349874725,6.0
26,0.7677,0.989583,0.341558,0.939189,0.995946,0.939244,0.0002821491463152516,6.0
27,0.775912,0.985069,0.33912,0.935135,0.994595,0.935193,0.00024546789463917034,5.9
28,0.770682,0.986806,0.34057,0.939189,0.994595,0.939341,0.00021065657772937805,5.9
29,0.768036,0.990625,0.341603,0.936486,0.995946,0.936649,0.00017796601192190975,6.1
30,0.765723,0.991667,0.33908,0.940541,0.994595,0.940496,0.0001476317334925104,6.0
31,0.763571,0.992014,0.333726,0.939189,0.995946,0.939312,0.00011987230161237237,5.9
32,0.7609,0.991319,0.33851,0.943243,0.994595,0.943284,9.488772362429817e-05,6.1
33,0.764917,0.989236,0.335733,0.937838,0.994595,0.937915,7.285801398521197e-05,6.1
34,0.765276,0.991319,0.341806,0.939189,0.995946,0.939321,5.394189725787288e-05,5.9
35,0.760042,0.992014,0.341209,0.936486,0.994595,0.936659,3.8275664496763314e-05,5.9
36,0.759628,0.991319,0.347299,0.939189,0.994595,0.939271,2.5972191267918057e-05,6.0
37,0.755602,0.992708,0.34204,0.936486,0.995946,0.936579,1.7120124377884313e-05,6.0
38,0.757445,0.990278,0.340827,0.937838,0.995946,0.937844,1.1783243171449372e-05,6.1
39,0.761147,0.989931,0.347427,0.936486,0.995946,0.936656,1e-05,6.0
