epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.644843,0.025694,3.651001,0.013514,0.12027,0.013806,0.00034,111.1
1,3.465572,0.109028,3.093787,0.551351,0.868919,0.53033,0.0006700000000000001,7.9
2,2.997306,0.339931,2.014341,0.798649,0.978378,0.783583,0.001,7.9
3,2.375531,0.439931,0.929365,0.881081,0.998649,0.877163,0.0009982167568285507,7.8
4,1.950906,0.495486,0.653127,0.908108,0.998649,0.906625,0.0009928798756221157,7.9
5,1.955643,0.462847,0.591324,0.914865,0.998649,0.91442,0.000984027808732082,7.7
6,1.775409,0.517708,0.520724,0.92027,0.998649,0.919626,0.0009717243355032365,8.0
7,1.709704,0.495139,0.52614,0.92027,0.997297,0.919257,0.0009560581027421271,7.8
8,1.833871,0.590278,0.523514,0.925676,0.997297,0.925154,0.000937141986014788,7.8
9,1.691916,0.598958,0.505148,0.931081,0.997297,0.930802,0.0009151122763757018,7.9
10,1.780054,0.602778,0.498441,0.922973,0.998649,0.92287,0.0008901276983876275,7.9
11,1.637641,0.519444,0.51635,0.92973,0.998649,0.929931,0.0008623682665074895,7.9
12,1.640945,0.602778,0.477191,0.935135,0.995946,0.9354,0.0008320339880780901,7.9
13,1.709644,0.593403,0.505392,0.931081,0.995946,0.931198,0.0007993434222706218,7.9
14,1.626981,0.517014,0.470496,0.928378,0.997297,0.928256,0.0007645321053608296,8.0
15,1.542563,0.625694,0.468182,0.936486,0.998649,0.93654,0.0007278508536847482,8.1
16,1.554269,0.472569,0.442523,0.940541,0.998649,0.940696,0.0006895639565012528,8.3
17,1.500675,0.54375,0.42225,0.937838,0.997297,0.937923,0.0006499472717818924,8.3
18,1.533797,0.525694,0.483194,0.936486,0.998649,0.936591,0.0006092862386478846,8.1
19,1.695746,0.489931,0.470084,0.939189,0.997297,0.939533,0.0005678738207747049,8.0
20,1.681996,0.61875,0.541411,0.944595,0.995946,0.944645,0.0005260083955820935,7.9
21,1.600051,0.589931,0.478774,0.944595,0.995946,0.944816,0.00048399160441790664,8.0
22,1.576141,0.559375,0.418721,0.943243,0.995946,0.943488,0.00044212617922529497,8.0
23,1.488927,0.519792,0.470669,0.945946,0.997297,0.94607,0.00040071376135211544,8.0
24,1.551476,0.518403,0.46522,0.940541,0.995946,0.940779,0.00036005272821810764,7.8
25,1.55356,0.55,0.479187,0.940541,0.998649,0.940739,0.00032043604349874725,7.9
26,1.555999,0.561806,0.464335,0.941892,0.997297,0.941991,0.0002821491463152516,7.9
27,1.699456,0.601736,0.490611,0.939189,0.998649,0.939251,0.00024546789463917034,7.9
28,1.548116,0.489583,0.443554,0.940541,0.997297,0.940714,0.00021065657772937805,8.0
29,1.515924,0.565278,0.477822,0.947297,0.997297,0.947365,0.00017796601192190975,8.0
30,1.605627,0.575347,0.452515,0.945946,0.998649,0.946124,0.0001476317334925104,7.9
31,1.607826,0.65,0.467338,0.947297,0.997297,0.947396,0.00011987230161237237,7.9
32,1.442644,0.577083,0.413063,0.945946,0.998649,0.946222,9.488772362429817e-05,8.0
33,1.420347,0.563889,0.402067,0.941892,0.997297,0.941834,7.285801398521197e-05,7.9
34,1.553397,0.600694,0.414865,0.940541,0.997297,0.940651,5.394189725787288e-05,7.8
35,1.413508,0.644097,0.417458,0.945946,0.998649,0.945932,3.8275664496763314e-05,8.0
36,1.483258,0.617014,0.453964,0.945946,0.998649,0.94595,2.5972191267918057e-05,8.0
37,1.38146,0.500347,0.405091,0.943243,0.997297,0.943235,1.7120124377884313e-05,8.0
38,1.490589,0.544097,0.420371,0.947297,0.998649,0.947365,1.1783243171449372e-05,8.0
39,1.528419,0.596528,0.453505,0.948649,0.998649,0.948882,1e-05,7.9
