epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.650456,0.018403,3.64889,0.016216,0.116216,0.016454,0.00034,60.5
1,3.365859,0.279514,2.944833,0.641892,0.909459,0.628751,0.0006700000000000001,12.5
2,2.559748,0.707986,1.64123,0.82027,0.995946,0.810846,0.001,9.2
3,1.603964,0.835764,0.659415,0.887838,0.998649,0.886503,0.0009982167568285507,8.6
4,1.170472,0.880903,0.455637,0.908108,0.998649,0.907478,0.0009928798756221157,9.0
5,1.030635,0.910417,0.387081,0.916216,0.998649,0.915691,0.000984027808732082,9.0
6,0.97671,0.925,0.356884,0.925676,0.998649,0.925368,0.0009717243355032365,14.9
7,0.942883,0.936458,0.354035,0.916216,0.998649,0.915734,0.0009560581027421271,9.9
8,0.905111,0.949306,0.339817,0.925676,0.998649,0.925078,0.000937141986014788,12.6
9,0.890071,0.953819,0.340277,0.925676,0.998649,0.925477,0.0009151122763757018,11.0
10,0.870381,0.961111,0.33663,0.928378,0.998649,0.927936,0.0008901276983876275,12.2
11,0.850414,0.966667,0.344167,0.936486,0.998649,0.936346,0.0008623682665074895,12.1
12,0.842985,0.971875,0.335459,0.937838,0.998649,0.937872,0.0008320339880780901,12.6
13,0.825969,0.979514,0.334091,0.935135,0.998649,0.935101,0.0007993434222706218,12.1
14,0.824354,0.977083,0.329781,0.937838,0.998649,0.938025,0.0007645321053608296,12.3
15,0.81902,0.978472,0.330678,0.941892,0.998649,0.942088,0.0007278508536847482,13.1
16,0.810795,0.981597,0.33124,0.933784,0.997297,0.933847,0.0006895639565012528,12.3
17,0.803611,0.981944,0.331657,0.937838,0.997297,0.937945,0.0006499472717818924,14.7
18,0.795389,0.985069,0.332821,0.937838,0.995946,0.937678,0.0006092862386478846,14.0
19,0.788783,0.987847,0.332719,0.939189,0.997297,0.939429,0.0005678738207747049,13.0
20,0.792646,0.985417,0.340504,0.937838,0.997297,0.937742,0.0005260083955820935,13.4
21,0.787734,0.985764,0.325429,0.939189,0.995946,0.939321,0.00048399160441790664,13.2
22,0.783034,0.988542,0.334999,0.939189,0.995946,0.939095,0.00044212617922529497,15.3
23,0.780069,0.987847,0.335694,0.941892,0.995946,0.941709,0.00040071376135211544,13.2
24,0.776464,0.986458,0.344826,0.937838,0.993243,0.938037,0.00036005272821810764,14.3
25,0.775283,0.986806,0.340872,0.940541,0.995946,0.940611,0.00032043604349874725,11.7
26,0.76872,0.989583,0.336355,0.940541,0.997297,0.94057,0.0002821491463152516,27.9
27,0.776228,0.985764,0.335125,0.935135,0.994595,0.935067,0.00024546789463917034,12.1
28,0.771065,0.986806,0.341413,0.940541,0.994595,0.940505,0.00021065657772937805,10.6
29,0.768567,0.990972,0.338392,0.936486,0.995946,0.936641,0.00017796601192190975,10.2
30,0.765271,0.991319,0.334495,0.939189,0.994595,0.939187,0.0001476317334925104,9.3
31,0.763743,0.992014,0.329247,0.937838,0.995946,0.938,0.00011987230161237237,8.6
32,0.761541,0.990972,0.336153,0.941892,0.994595,0.941988,9.488772362429817e-05,8.2
33,0.765116,0.988542,0.334701,0.939189,0.994595,0.939245,7.285801398521197e-05,10.9
34,0.76603,0.990972,0.34038,0.941892,0.995946,0.941901,5.394189725787288e-05,11.9
35,0.760314,0.992014,0.340827,0.941892,0.994595,0.941953,3.8275664496763314e-05,8.8
36,0.759968,0.991319,0.348677,0.941892,0.994595,0.941953,2.5972191267918057e-05,8.3
37,0.756271,0.992708,0.343971,0.936486,0.995946,0.936431,1.7120124377884313e-05,8.5
38,0.758177,0.989236,0.341655,0.937838,0.995946,0.937844,1.1783243171449372e-05,8.3
39,0.761233,0.990625,0.347277,0.936486,0.995946,0.936656,1e-05,8.4
