epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.647511,0.023958,3.647827,0.012162,0.12027,0.012691,0.00034,60.5
1,3.426457,0.130556,2.978309,0.625676,0.9,0.606048,0.0006700000000000001,8.5
2,2.811533,0.385417,1.566942,0.833784,0.993243,0.824195,0.001,8.4
3,2.12444,0.477431,0.698315,0.893243,0.997297,0.892093,0.0009982167568285507,8.6
4,1.745894,0.545139,0.562487,0.913514,0.998649,0.912976,0.0009928798756221157,8.2
5,1.754141,0.504514,0.555399,0.913514,0.998649,0.913184,0.000984027808732082,8.0
6,1.597673,0.562153,0.463565,0.918919,0.998649,0.91869,0.0009717243355032365,8.3
7,1.530378,0.53125,0.475521,0.92027,0.997297,0.919832,0.0009560581027421271,8.6
8,1.661116,0.624306,0.51789,0.924324,0.997297,0.924309,0.000937141986014788,8.5
9,1.531666,0.636458,0.461488,0.928378,0.995946,0.928363,0.0009151122763757018,8.3
10,1.618552,0.645139,0.491005,0.928378,0.995946,0.928214,0.0008901276983876275,8.4
11,1.470875,0.563194,0.46575,0.933784,0.995946,0.934391,0.0008623682665074895,8.4
12,1.482736,0.639931,0.473343,0.935135,0.998649,0.935815,0.0008320339880780901,8.2
13,1.551007,0.624653,0.461815,0.935135,0.997297,0.935228,0.0007993434222706218,8.5
14,1.478221,0.553819,0.459625,0.932432,0.997297,0.932509,0.0007645321053608296,8.4
15,1.393939,0.672222,0.437314,0.936486,0.997297,0.936695,0.0007278508536847482,8.2
16,1.396755,0.503125,0.445936,0.944595,0.998649,0.94499,0.0006895639565012528,9.5
17,1.360434,0.569097,0.417484,0.944595,0.998649,0.944891,0.0006499472717818924,10.6
18,1.390221,0.568403,0.450615,0.941892,0.998649,0.942176,0.0006092862386478846,27.5
19,1.52953,0.522222,0.448743,0.939189,0.998649,0.939305,0.0005678738207747049,24.4
20,1.535998,0.641319,0.523003,0.941892,0.998649,0.942388,0.0005260083955820935,9.3
21,1.443445,0.620139,0.445939,0.941892,0.998649,0.942381,0.00048399160441790664,7.8
22,1.413109,0.584375,0.43217,0.940541,0.997297,0.940953,0.00044212617922529497,7.8
23,1.345439,0.531944,0.448223,0.944595,0.998649,0.944801,0.00040071376135211544,7.4
24,1.395951,0.557639,0.440084,0.945946,0.998649,0.946211,0.00036005272821810764,7.1
25,1.406593,0.582292,0.486814,0.945946,0.997297,0.946272,0.00032043604349874725,7.2
26,1.405851,0.603125,0.449476,0.945946,0.998649,0.946349,0.0002821491463152516,7.1
27,1.545977,0.636806,0.498924,0.944595,0.997297,0.945211,0.00024546789463917034,7.1
28,1.406181,0.502431,0.452976,0.943243,0.998649,0.943472,0.00021065657772937805,7.3
29,1.368639,0.597569,0.483213,0.939189,0.997297,0.939753,0.00017796601192190975,7.5
30,1.458372,0.621181,0.462971,0.945946,0.998649,0.94625,0.0001476317334925104,7.3
31,1.461233,0.682986,0.471385,0.943243,0.998649,0.94358,0.00011987230161237237,7.3
32,1.308018,0.593403,0.421543,0.944595,0.998649,0.944903,9.488772362429817e-05,7.4
33,1.290227,0.590278,0.402346,0.947297,0.998649,0.947603,7.285801398521197e-05,7.5
34,1.422595,0.637153,0.421266,0.945946,0.998649,0.946217,5.394189725787288e-05,7.4
35,1.275755,0.670833,0.419863,0.947297,0.998649,0.947603,3.8275664496763314e-05,7.4
36,1.347871,0.638889,0.455916,0.948649,0.998649,0.948918,2.5972191267918057e-05,7.4
37,1.251012,0.521528,0.415729,0.945946,0.998649,0.946399,1.7120124377884313e-05,7.4
38,1.359071,0.578125,0.424967,0.943243,0.998649,0.943517,1.1783243171449372e-05,7.4
39,1.386561,0.625694,0.455356,0.945946,0.998649,0.946339,1e-05,7.3
