epoch,train_loss,train_acc1,val_loss,val_top1,val_top5,val_macro_f1,lr,epoch_time_sec
0,3.649422,0.020486,3.648789,0.013514,0.124324,0.014756,0.00034,57.9
1,3.37514,0.257986,2.942016,0.624324,0.910811,0.60981,0.0006700000000000001,8.8
2,2.546053,0.678125,1.409289,0.845946,0.994595,0.837362,0.001,9.2
3,1.564904,0.815625,0.565595,0.897297,0.998649,0.895777,0.0009982167568285507,9.5
4,1.17205,0.869444,0.432786,0.913514,0.998649,0.912477,0.0009928798756221157,10.8
5,1.075546,0.890278,0.383646,0.921622,0.998649,0.920611,0.000984027808732082,10.4
6,1.007334,0.908681,0.364906,0.925676,0.998649,0.924664,0.0009717243355032365,10.6
7,0.968955,0.921181,0.354746,0.927027,0.998649,0.92619,0.0009560581027421271,9.7
8,0.934095,0.935069,0.314675,0.928378,0.998649,0.928397,0.000937141986014788,9.2
9,0.917242,0.938194,0.342987,0.940541,0.998649,0.940512,0.0009151122763757018,10.5
10,0.91808,0.938889,0.329729,0.932432,0.997297,0.932812,0.0008901276983876275,10.8
11,0.900896,0.945486,0.337635,0.936486,0.995946,0.936452,0.0008623682665074895,10.0
12,0.873611,0.956944,0.333087,0.943243,0.995946,0.943892,0.0008320339880780901,10.0
13,0.854189,0.963889,0.332254,0.941892,0.995946,0.941873,0.0007993434222706218,10.1
14,0.843968,0.965278,0.319992,0.939189,0.997297,0.939596,0.0007645321053608296,10.1
15,0.849973,0.964236,0.324151,0.948649,0.997297,0.949089,0.0007278508536847482,9.6
16,0.843348,0.967014,0.325577,0.944595,1.0,0.944903,0.0006895639565012528,9.4
17,0.835059,0.969444,0.321579,0.944595,0.997297,0.944571,0.0006499472717818924,9.4
18,0.825581,0.971181,0.333945,0.941892,0.995946,0.941918,0.0006092862386478846,10.3
19,0.824784,0.970833,0.334527,0.943243,0.995946,0.943554,0.0005678738207747049,9.6
20,0.822067,0.976042,0.343184,0.939189,0.995946,0.939067,0.0005260083955820935,9.6
21,0.818168,0.971875,0.319099,0.948649,0.997297,0.948927,0.00048399160441790664,9.5
22,0.813607,0.972222,0.328447,0.944595,0.998649,0.944631,0.00044212617922529497,10.1
23,0.809494,0.972569,0.329998,0.95,0.997297,0.950172,0.00040071376135211544,9.5
24,0.810885,0.975694,0.346295,0.940541,0.995946,0.940444,0.00036005272821810764,10.1
25,0.809241,0.970486,0.326183,0.941892,0.998649,0.941898,0.00032043604349874725,10.3
26,0.794457,0.979861,0.332622,0.936486,1.0,0.936526,0.0002821491463152516,10.9
27,0.795293,0.980903,0.327865,0.940541,0.995946,0.940485,0.00024546789463917034,10.2
28,0.795359,0.977431,0.333786,0.947297,0.998649,0.94737,0.00021065657772937805,10.0
29,0.792106,0.98125,0.340476,0.944595,0.997297,0.944707,0.00017796601192190975,10.0
30,0.794327,0.978472,0.339974,0.943243,0.997297,0.943398,0.0001476317334925104,10.8
31,0.797484,0.976736,0.33605,0.947297,1.0,0.947494,0.00011987230161237237,10.1
32,0.785182,0.981597,0.333079,0.945946,0.998649,0.946145,9.488772362429817e-05,11.0
33,0.785844,0.981597,0.334243,0.941892,0.998649,0.941953,7.285801398521197e-05,11.9
34,0.791008,0.979514,0.331681,0.944595,0.998649,0.94479,5.394189725787288e-05,11.8
35,0.786182,0.98125,0.337736,0.944595,0.998649,0.94479,3.8275664496763314e-05,12.0
36,0.788528,0.982639,0.336213,0.941892,0.998649,0.941993,2.5972191267918057e-05,11.2
37,0.781425,0.98125,0.333642,0.945946,1.0,0.946018,1.7120124377884313e-05,11.3
38,0.784506,0.982986,0.330868,0.945946,1.0,0.946038,1.1783243171449372e-05,11.5
39,0.781324,0.981597,0.344993,0.944595,1.0,0.944879,1e-05,11.2
